Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YER117W	RPL23B	Ribosomal 60S subunit protein L23B	-1.701997215	3.48E-17	1.65E-16	-1.197697561	2.36E-12	9.36E-12	0.504299654	0.005978159	0.027750229	-0.049593216	0.689135076	0.998531082	0.454706438	0.000646485	0.002484067			
YGR187C	HGH1	Chaperone protein for translation factor eEF2	-2.837899736	8.47E-23	7.67E-22	-2.259147038	8.10E-20	8.14E-19	0.578752698	0.005985511	0.027761969	0.139516063	0.302217778	0.998531082	0.718268761	1.81E-05	0.000108642			
YER056C-A	RPL34A	Ribosomal 60S subunit protein L34A	-1.703981752	2.61E-19	1.55E-18	-1.263227456	6.51E-15	3.47E-14	0.440754296	0.006051841	0.028047017	-0.020446462	0.850263639	0.998531082	0.420307834	0.000353664	0.001471937			
YBL071W-A	KTI11	Zn-ribbon protein that co-purifies with Dph1 and Dph2	-3.446491175	4.20E-21	3.09E-20	-2.646525336	3.23E-18	2.58E-17	0.799965839	0.006085291	0.028143988	-0.117384613	0.469403124	0.998531082	0.682581226	0.004196365	0.012508689			
YCL057C-A	MIC10	Conserved component of the MICOS complex	0.232174848	0.051084897	0.06426856	-0.241690822	0.044325204	0.059004596	-0.47386567	0.006080602	0.028143988	-0.063804445	0.587724234	0.998531082	-0.537670114	3.10E-05	0.000175887			
YJL034W	KAR2	ATPase involved in protein import into the ER	3.54701292	9.94E-32	4.37E-30	3.127820879	8.95E-30	4.77E-28	-0.419192041	0.006087433	0.028143988	0.192377643	0.068454298	0.998531082	-0.226814398	0.032460486	0.069022002			
YPL101W	ELP4	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex	-1.301481218	2.18E-18	1.16E-17	-0.941732786	8.08E-14	3.78E-13	0.359748432	0.006119778	0.02827082	-0.075156716	0.389368891	0.998531082	0.284591716	0.002884983	0.009059445			
YHR120W	MSH1	DNA-binding protein of the mitochondria	-2.10138805	7.21E-27	1.14E-25	-1.753363115	3.46E-24	6.72E-23	0.348024935	0.006134229	0.028314852	-0.070060617	0.390508469	0.998531082	0.277964318	0.003456841	0.010538969			
YPR042C	PUF2	PUF family mRNA-binding protein	1.353439419	1.89E-12	6.05E-12	0.790249943	9.81E-07	2.24E-06	-0.563189476	0.006205559	0.028621152	0.15633423	0.274254508	0.998531082	-0.406855246	0.004476945	0.013181226			
YHR039C	MSC7	Protein of unknown function	-1.389892868	3.46E-19	2.02E-18	-1.025956174	1.06E-14	5.50E-14	0.363936693	0.006223378	0.028680353	-0.00132862	0.988178657	0.998929735	0.362608073	0.000217971	0.00096734			
YLR022C	SDO1	Guanine nucleotide exchange factor (GEF) for Ria1p	-1.440136226	1.50E-14	5.66E-14	-0.931171624	2.22E-09	6.63E-09	0.508964602	0.006243235	0.02874885	-0.055207029	0.653385995	0.998531082	0.453757573	0.000980992	0.003549084			
YGR208W	SER2	Phosphoserine phosphatase of the phosphoglycerate pathway	-1.235712734	1.92E-18	1.02E-17	-0.896479984	6.67E-14	3.14E-13	0.33923275	0.006277305	0.02887762	-0.005021496	0.951562324	0.998929735	0.334211254	0.000292399	0.001251338			
YLR335W	NUP2	Nucleoporin involved in nucleocytoplasmic transport	-0.387334011	4.62E-05	7.96E-05	-0.041068846	0.631299955	0.670931045	0.346265165	0.006281234	0.02887762	0.137244573	0.114733296	0.998531082	0.483509738	1.07E-06	8.49E-06			
YCR024C-B	YCR024C-B	Putative protein of unknown function	-2.66197484	7.84E-20	4.91E-19	-2.019261813	6.24E-16	3.81E-15	0.642713027	0.006312267	0.028997134	-0.140535919	0.374483247	0.998531082	0.502177107	0.003077305	0.009553921			
YDR377W	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase	0.658730684	2.03E-07	4.30E-07	0.224431714	0.042287512	0.056461822	-0.434298969	0.00631771	0.028998996	-0.056793795	0.60136089	0.998531082	-0.491092764	3.36E-05	0.000188038			
YOL022C	TSR4	Cytoplasmic assembly chaperone for ribosomal protein Rps2p	-2.806275941	4.58E-27	7.47E-26	-2.357257013	1.12E-24	2.41E-23	0.449018927	0.006329262	0.029028872	-0.015980252	0.877848387	0.998531082	0.433038676	0.00063129	0.002435458			
YOR093C	CMR2	Protein involved in regulation of diacylglycerol lipids levels	-0.076655604	0.337864881	0.373487662	0.24265556	0.003416573	0.005261047	0.319311163	0.006335146	0.029032722	0.034471452	0.665515778	0.998531082	0.353782615	4.68E-05	0.000250609			
YBR116C	NA	NA	1.672810816	0.003166933	0.004581269	-0.937848975	0.199906971	0.238974979	-2.610659791	0.006357918	0.029113903	0.194065097	0.777155211	0.998531082	-2.416594694	9.02E-05	0.000448195			
YBL076C	ILS1	Cytoplasmic isoleucine-tRNA synthetase	-0.562359655	4.48E-10	1.18E-09	-0.277555975	0.000285892	0.000504938	0.28480368	0.006443501	0.029482344	0.040556702	0.5673603	0.998531082	0.325360382	3.37E-05	0.000188297			
YOR342C	YOR342C	Protein of unknown function	-1.686833761	3.95E-22	3.29E-21	-1.321038091	1.77E-18	1.47E-17	0.36579567	0.006453353	0.029503972	-0.0317442	0.719993962	0.998531082	0.33405147	0.000809966	0.003008979			
YDR221W	GTB1	"Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p"	-0.698501587	7.57E-12	2.31E-11	-0.396164614	2.94E-06	6.42E-06	0.302336972	0.006461287	0.029516802	0.140411347	0.064644154	0.998531082	0.442748319	5.30E-07	4.59E-06			
YPR113W	PIS1	Phosphatidylinositol synthase	-0.260958003	0.061802412	0.076766224	-0.812935975	4.55E-07	1.07E-06	-0.551977972	0.006486319	0.029607654	-0.132666677	0.335006071	0.998531082	-0.684644649	1.02E-05	6.49E-05			
YOL157C	IMA2	"Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)"	2.688297601	3.79E-13	1.28E-12	1.617955195	1.09E-07	2.73E-07	-1.070342406	0.006497747	0.029636316	0.546060429	0.078108461	0.998531082	-0.524281977	0.021846651	0.050075519			
YPR010C-A	MIN8	Protein of unknown function	-0.643302227	0.000224632	0.000363198	-1.292590552	5.12E-10	1.62E-09	-0.649288326	0.006538176	0.029797104	0.014303276	0.928096372	0.998531082	-0.634985049	0.000356728	0.001478278			
YPR001W	CIT3	Dual specificity mitochondrial citrate and methylcitrate synthase	1.875563663	1.00E-08	2.37E-08	2.962457539	2.71E-15	1.53E-14	1.086893876	0.006549536	0.029825259	0.208684164	0.507018105	0.998531082	1.295578039	2.62E-07	2.41E-06			
YDR132C	MRX16	Protein that associates with the large mitoribosomal subunit	0.639706434	0.000150717	0.000247018	1.255702579	1.55E-10	5.17E-10	0.615996145	0.00659861	0.030024979	0.036100977	0.822375873	0.998531082	0.652097122	5.15E-05	0.000273295			
YDL222C	FMP45	Integral membrane protein localized to mitochondria	2.573120962	2.52E-10	6.77E-10	1.17643871	0.00164198	0.002642963	-1.396682252	0.006605527	0.030032713	-0.130346652	0.74581783	0.998531082	-1.527028904	1.77E-06	1.34E-05			
YCR047C	BUD23	Ribosome biogenesis factor	-3.80412769	5.27E-29	1.24E-27	-3.256505242	1.98E-27	6.50E-26	0.547622449	0.006644464	0.030185899	0.01946126	0.86495566	0.998531082	0.567083709	0.000666658	0.002551384			
YKR057W	RPS21A	Protein component of the small (40S) ribosomal subunit	-1.914418794	1.14E-19	7.10E-19	-1.439054366	1.71E-15	9.84E-15	0.475364428	0.00665311	0.030201341	-0.010197561	0.931064702	0.998531082	0.465166867	0.000313072	0.00132796			
YJR060W	CBF1	Basic helix-loop-helix (bHLH) protein	-1.566758502	6.49E-17	3.00E-16	-1.100657199	1.64E-12	6.62E-12	0.466101303	0.006674407	0.030274141	0.017752265	0.872226637	0.998531082	0.483853568	0.000252163	0.001102924			
YLR396C	VPS33	ATP-binding protein that is a subunit of the HOPS and CORVET complexes	0.41803648	1.53E-05	2.76E-05	0.762696213	1.98E-11	7.20E-11	0.344659733	0.00671092	0.03041579	-0.007266714	0.934223982	0.998531082	0.337393019	0.000218142	0.000967354			
YDL119C	HEM25	Mitochondrial glycine transporter	1.017299644	1.14E-07	2.47E-07	0.361980547	0.03309269	0.044819183	-0.655319097	0.006738289	0.030515808	-0.001527973	0.992876311	0.998929735	-0.65684707	0.000110621	0.000538236			
YIL002C	INP51	"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase"	-0.155080457	0.067127587	0.082879964	0.174959088	0.037659227	0.050622726	0.330039545	0.006774207	0.03065435	0.038033834	0.647207995	0.998531082	0.368073379	4.89E-05	0.000260899			
YEL058W	PCM1	Essential N-acetylglucosamine-phosphate mutase	-0.000300013	0.997650085	0.998170327	0.406271745	0.000226748	0.000406181	0.406571758	0.00679206	0.030710993	-0.046204405	0.65110657	0.998531082	0.360367353	0.000878812	0.00323844			
YDR436W	PPZ2	"Serine/threonine protein phosphatase Z, isoform of Ppz1p"	1.532405786	1.32E-18	7.19E-18	1.11497379	1.03E-13	4.76E-13	-0.417431997	0.006836705	0.030888597	-0.105811142	0.335585973	0.998531082	-0.523243138	3.84E-06	2.69E-05			
YDR480W	DIG2	MAP kinase-responsive inhibitor of the Ste12p transcription factor	-0.551476808	0.000399686	0.000628235	0.017177892	0.902698909	0.917685433	0.568654701	0.006866591	0.030974999	-0.086433593	0.544261959	0.998531082	0.482221107	0.001469227	0.005051893			
YGR043C	NQM1	Transaldolase of unknown function	2.252223822	8.30E-06	1.52E-05	0.339324755	0.459705495	0.504492817	-1.912899067	0.006864278	0.030974999	0.811091918	0.163870899	0.998531082	-1.101807149	0.002929672	0.009154826			
YMR246W	FAA4	Long chain fatty acyl-CoA synthetase	-0.718840339	6.26E-09	1.51E-08	-0.31927603	0.002517988	0.003949193	0.399564309	0.006898356	0.031093922	0.016483675	0.869240107	0.998531082	0.416047984	0.000142211	0.000669859			
YHR127W	YHR127W	Protein of unknown function	-0.725363043	2.45E-06	4.73E-06	-0.196741307	0.136785139	0.168413959	0.528621736	0.006906159	0.031104735	0.041868409	0.749898605	0.998531082	0.570490145	9.88E-05	0.000487328			
YHR151C	MTC6	Protein of unknown function	-0.090002865	0.450329288	0.486321835	-0.565866644	2.31E-05	4.58E-05	-0.475863779	0.006933087	0.031201602	-0.077352653	0.517496533	0.998531082	-0.553216432	3.10E-05	0.000175887			
YMR271C	URA10	Minor orotate phosphoribosyltransferase (OPRTase) isozyme	2.945208764	1.78E-16	7.89E-16	1.983724426	1.05E-10	3.59E-10	-0.961484339	0.006966439	0.031327206	0.032069792	0.908611609	0.998531082	-0.929414546	1.78E-05	0.000107004			
YFL022C	FRS2	Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase	-0.694563386	1.22E-10	3.34E-10	-0.363571082	6.87E-05	0.000130214	0.330992303	0.006978956	0.031334534	-0.086997625	0.2980404	0.998531082	0.243994678	0.005107024	0.014690669			
YJR130C	STR2	"Cystathionine gamma-synthase, converts cysteine into cystathionine"	-0.04848666	0.645548612	0.675841726	0.364697726	0.000838649	0.001397183	0.413184385	0.006975589	0.031334534	0.110460672	0.297297495	0.998531082	0.523645057	5.92E-06	3.99E-05			
YER171W	RAD3	5' to 3' DNA helicase	-0.563157763	2.28E-07	4.80E-07	-0.19690925	0.036141661	0.048722944	0.366248512	0.006986195	0.031342587	-0.014566689	0.873911908	0.998531082	0.351681823	0.00040182	0.001641501			
YGR191W	HIP1	High-affinity histidine permease	-0.345773439	0.007992108	0.011058311	-0.843769691	2.79E-08	7.44E-08	-0.497996252	0.007005079	0.031367275	-0.106761391	0.394976237	0.998531082	-0.604757643	1.64E-05	9.95E-05			
YJR001W	AVT1	Vacuolar transporter	0.590681495	6.73E-06	1.25E-05	0.128902241	0.270281108	0.313846693	-0.461779254	0.007005632	0.031367275	-0.00576416	0.960484539	0.998929735	-0.467543415	0.000201382	0.000904884			
YOR283W	YOR283W	Phosphatase with a broad substrate specificity	-0.853500866	2.12E-09	5.28E-09	-0.402351839	0.000834876	0.001391299	0.451149027	0.007008047	0.031367275	-0.147953789	0.191654189	0.998531082	0.303195238	0.010852863	0.027962883			
YJR066W	TOR1	PIK-related protein kinase and rapamycin target	0.454290655	9.58E-06	1.75E-05	0.091018743	0.322354926	0.367639183	-0.363271912	0.007029378	0.031438307	0.027675129	0.764053866	0.998531082	-0.335596783	0.000551728	0.002163313			
YHR196W	UTP9	Nucleolar protein	-2.433449828	1.21E-21	9.65E-21	-1.908536043	2.99E-18	2.41E-17	0.524913786	0.007044826	0.031482935	0.068026705	0.594326414	0.998531082	0.592940491	7.56E-05	0.000382814			
YNL231C	PDR16	Phosphatidylinositol transfer protein (PITP)	-0.191514183	0.142485717	0.167616552	0.318837578	0.015866867	0.022434215	0.51035176	0.007059073	0.031522131	0.065877073	0.609345263	0.998531082	0.576228834	4.65E-05	0.00024949			
YKL185W	ASH1	Component of the Rpd3L histone deacetylase complex	0.065982309	0.399957973	0.437243952	-0.244515843	0.00299362	0.004647055	-0.310498152	0.007073864	0.031563692	-0.048794213	0.533745855	0.998531082	-0.359292365	3.29E-05	0.0001846			
YDR087C	RRP1	Essential evolutionarily conserved nucleolar protein	-3.691805161	3.81E-28	7.26E-27	-3.147281782	1.88E-26	5.28E-25	0.544523379	0.007129127	0.031761034	0.071351886	0.55009168	0.998531082	0.615875265	0.0002057	0.00092069			
YHL003C	LAG1	Ceramide synthase component	0.086731417	0.31589922	0.350958485	-0.254776657	0.00473964	0.007181197	-0.341508074	0.007126428	0.031761034	0.004570346	0.957690104	0.998929735	-0.336937728	0.000286233	0.001226774			
YOR097C	YOR097C	Putative protein of unknown function	1.255969582	4.26E-13	1.42E-12	0.765708757	1.44E-07	3.57E-07	-0.490260826	0.007194721	0.032028471	0.240440998	0.06885094	0.998531082	-0.249819828	0.037941134	0.078869328			
YOR020W-A	MCO10	Subunit l of the mitochondrial F1F0 ATP synthase	1.778533896	6.90E-13	2.26E-12	1.073460711	2.28E-07	5.53E-07	-0.705073185	0.007282418	0.032393816	0.319122491	0.102893243	0.998531082	-0.385950694	0.021165647	0.0489233			
YDR398W	UTP5	Subunit of U3-containing Small Subunit (SSU) processome complex	-3.559268682	1.21E-34	1.14E-32	-3.199495169	3.02E-33	4.70E-31	0.359773514	0.007320174	0.03253662	-0.026555414	0.754678202	0.998531082	0.3332181	0.001190435	0.004198618			
YMR286W	MRPL33	Mitochondrial ribosomal protein of the large subunit	-0.702890396	0.000167672	0.00027356	-1.385994265	4.38E-10	1.40E-09	-0.683103869	0.00734675	0.032629545	0.112049107	0.50379314	0.998531082	-0.571054763	0.002411457	0.007784826			
YDR508C	GNP1	Broad specificity amino acid permease	-0.552345935	1.04E-06	2.08E-06	-0.16588139	0.094884694	0.120298744	0.386464545	0.007354138	0.032637176	-0.048202956	0.622382121	0.998531082	0.338261589	0.001157363	0.004104611			
YPL178W	CBC2	Small subunit of the heterodimeric cap binding complex with Sto1p	-0.096864871	0.313298499	0.348540038	0.279839653	0.004995521	0.007537148	0.376704524	0.0073755	0.032706761	-0.110023725	0.254281848	0.998531082	0.266680799	0.007074466	0.019520913			
YHR036W	BRL1	Essential nuclear envelope/ER integral membrane protein	-0.015422285	0.876615193	0.890539543	0.374780937	0.00039998	0.000694505	0.390203222	0.007407312	0.032822547	-0.053100023	0.596128115	0.998531082	0.337103199	0.0011683	0.004135752			
YLR272C	YCS4	Subunit of the condensin complex	-0.99566108	9.53E-14	3.36E-13	-0.629780093	1.70E-08	4.64E-08	0.365880987	0.007481061	0.033100247	0.067259334	0.463276334	0.998531082	0.433140321	3.30E-05	0.000185018			
YMR033W	ARP9	Component of both the SWI/SNF and RSC chromatin remodeling complexes	-0.179237523	0.056258187	0.070319679	0.182016273	0.051173699	0.067636236	0.361253796	0.007481484	0.033100247	-0.02762826	0.763855409	0.998531082	0.333625536	0.000647342	0.002484067			
YKL033W	TTI1	"Subunit of the ASTRA complex, involved in chromatin remodeling"	-0.49431682	1.58E-05	2.84E-05	-0.093672273	0.355407482	0.400808281	0.400644547	0.007500915	0.033160727	-0.010904498	0.914373642	0.998531082	0.389740049	0.000384406	0.001579328			
YFR049W	YMR31	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase	1.44686623	7.68E-14	2.73E-13	0.91210594	2.92E-08	7.78E-08	-0.534760289	0.007518207	0.033161343	0.029261046	0.837031459	0.998531082	-0.505499243	0.000284	0.001220753			
YGL121C	GPG1	Proposed gamma subunit of the heterotrimeric G protein	4.355114074	3.94E-10	1.04E-09	1.659884246	0.010197626	0.014815128	-2.695229828	0.007518338	0.033161343	0.418475958	0.615362458	0.998531082	-2.276753869	1.80E-06	1.36E-05			
YOL139C	CDC33	Translation initiation factor eIF4E	-1.641496916	1.27E-18	6.96E-18	-1.210174843	3.25E-14	1.60E-13	0.431322073	0.007517296	0.033161343	-0.037347498	0.732108004	0.998531082	0.393974576	0.000795242	0.002964646			
YOR359W	VTS1	Flap-structured DNA-binding and RNA-binding protein	-2.161907746	1.21E-27	2.13E-26	-1.82991563	4.44E-25	1.01E-23	0.331992116	0.007525688	0.033168346	-0.101715154	0.213645041	0.998531082	0.230276962	0.011104089	0.028437038			
YNL022C	RCM1	rRNA m5C methyltransferase	-2.119971368	8.32E-26	1.12E-24	-1.758830524	5.00E-23	7.87E-22	0.361140844	0.007557951	0.033285052	-0.045857124	0.601839822	0.998531082	0.31528372	0.001821971	0.006104347			
YBR026C	ETR1	2-enoyl thioester reductase	1.839085802	8.00E-18	4.01E-17	1.312676875	1.50E-12	6.08E-12	-0.526408928	0.007608877	0.033483714	-0.178613366	0.219312972	0.998531082	-0.705022293	6.87E-07	5.74E-06			
YHL002C-A	NA	NA	1.942732912	0.053637895	0.067219623	-1.71621006	0.054397324	0.07158459	-3.658942972	0.007617065	0.033494138	2.127584906	0.034777568	0.998531082	-1.531358066	0.084740949	0.150871916			
YKR036C	CAF4	WD40 repeat-containing protein associated with the CCR4-NOT complex	-1.158888491	5.06E-13	1.68E-12	-0.713326201	7.82E-08	2.00E-07	0.44556229	0.007624838	0.033502722	0.024040681	0.827251223	0.998531082	0.469602971	0.000200319	0.000900812			
YCL050C	APA1	AP4A phosphorylase	1.366575873	3.86E-21	2.87E-20	1.056782908	4.27E-17	3.00E-16	-0.309792965	0.007642377	0.033554173	0.023202259	0.769411107	0.998531082	-0.286590705	0.000649467	0.002490562			
YLL041C	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase	0.134924072	0.296380587	0.331127069	-0.372951957	0.006131864	0.009160397	-0.507876028	0.007699471	0.033779081	-0.124773139	0.338594638	0.998531082	-0.632649167	1.22E-05	7.66E-05			
YBR291C	CTP1	Mitochondrial inner membrane citrate transporter	-3.634977387	3.54E-23	3.37E-22	-2.909939405	1.89E-20	2.06E-19	0.725037982	0.007747931	0.033965797	-0.294874647	0.058674968	0.998531082	0.430163335	0.047355744	0.095041723			
YDR359C	EAF1	Component of the NuA4 histone acetyltransferase complex	0.109591004	0.194961347	0.224439503	0.436808731	3.83E-06	8.25E-06	0.327217726	0.00780559	0.034192522	-0.051250538	0.544596998	0.998531082	0.275967189	0.001608297	0.005484215			
YNR015W	SMM1	Dihydrouridine synthase	-2.394519551	1.47E-29	3.85E-28	-2.066481168	2.16E-27	7.02E-26	0.328038382	0.007824698	0.034250161	-0.063976849	0.420422998	0.998531082	0.264061533	0.004252228	0.012649005			
YHR007C	ERG11	Lanosterol 14-alpha-demethylase	-2.570407194	1.62E-26	2.39E-25	-2.162114975	8.76E-24	1.53E-22	0.408292218	0.007901467	0.03455991	0.025644991	0.804949294	0.998531082	0.433937209	0.000145595	0.000681893			
YER157W	COG3	Essential component of the conserved oligomeric Golgi complex	-0.497997277	2.28E-07	4.80E-07	-0.180024608	0.030216443	0.041146404	0.31797267	0.007950925	0.034749829	0.014786109	0.855378722	0.998531082	0.332758778	0.000173462	0.000795575			
YDL084W	SUB2	Component of the TREX complex required for nuclear mRNA export	-0.832607214	4.73E-14	1.72E-13	-0.533332122	1.16E-08	3.24E-08	0.299275092	0.007971941	0.034815244	-0.047093843	0.538993284	0.998531082	0.252181249	0.00187416	0.006257345			
YCR079W	PTC6	Mitochondrial type 2C protein phosphatase (PP2C)	2.222742974	5.98E-19	3.41E-18	1.646986204	2.30E-14	1.15E-13	-0.575756769	0.008001672	0.034918595	0.00117619	0.994051255	0.998929735	-0.574580579	0.00011545	0.000558896			
YMR258C	ROY1	GTPase inhibitor with similarity to F-box proteins	1.262331551	1.20E-19	7.41E-19	0.948844207	3.02E-15	1.69E-14	-0.313487344	0.008042948	0.035072127	0.035839964	0.663350878	0.998531082	-0.27764738	0.000888135	0.003260269			
YHL034C	SBP1	Protein that binds eIF4G and has a role in repression of translation	0.487223318	2.75E-07	5.77E-07	0.172256339	0.037567111	0.050510697	-0.31496698	0.008105146	0.035316594	-0.001460148	0.98560713	0.998929735	-0.316427127	0.000281224	0.001214349			
YGL055W	OLE1	Delta(9) fatty acid desaturase	-4.279227219	8.61E-34	5.90E-32	-3.857060981	2.81E-32	3.11E-30	0.422166239	0.008157152	0.035516316	-0.077268642	0.471708015	0.998531082	0.344897596	0.002833474	0.008922034			
YGL025C	PGD1	Subunit of the RNA polymerase II mediator complex	0.126322533	0.236155582	0.267791869	0.535549486	5.67E-06	1.20E-05	0.409226953	0.008179957	0.035588687	-0.036522895	0.733742805	0.998531082	0.372704058	0.000699414	0.002652564			
YLR295C	ATP14	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase	-0.347852143	0.002545611	0.00372459	-0.774784914	9.40E-09	2.64E-08	-0.426932771	0.00819548	0.035629294	-0.108799802	0.32127588	0.998531082	-0.535732573	1.42E-05	8.73E-05			
YPR132W	RPS23B	Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit	-1.706034537	7.62E-19	4.28E-18	-1.270117426	1.53E-14	7.78E-14	0.435917111	0.008212372	0.035675783	-0.060373702	0.589740778	0.998531082	0.375543409	0.001595107	0.005442465			
YLL055W	YCT1	High-affinity cysteine-specific transporter	0.545373928	7.98E-05	0.000134357	0.056989174	0.648749382	0.688332063	-0.488384754	0.008246065	0.035795134	0.251315753	0.055105827	0.998531082	-0.237069002	0.058469025	0.111809869			
